"";"SA2_NAME16";"SA3_CODE16";"x"
"1";"Abbotsford";"20607";36,1951815427876
"2";"Aberfoyle Park";"40304";50,5469426328223
"3";"Acacia Gardens";"11602";47,672827076114
"4";"ACT - South West";"80111";44,7922834143441
"5";"Acton";"80105";42,1779596936318
"6";"Acton - Upper Burnie";"60401";40,6326556944256
"7";"Adamstown - Kotara";"11103";33,5455073957116
"8";"Adelaide";"40101";44,83
"9";"Adelaide Airport";"40403";42,4107873861352
"10";"Adelaide Hills";"40102";53,6153324302379
"11";"Agnes Water - Miriam Vale";"30805";30,1099932697206
"12";"Ainslie";"80105";59,2481213143729
"13";"Airlie - Whitsundays";"31203";36,7344489146738
"14";"Airport West";"21001";37,2574799936974
"15";"Aitkenvale";"31802";59,7257110658232
"16";"Alawa";"70102";37,877059820281
"17";"Albany";"50901";67,41
"18";"Albany Creek";"31401";48,8628977179683
"19";"Albany Region";"50901";59,9053087542265
"20";"Albert Park";"20605";33,9560369971268
"21";"Albion";"30503";32,8178367801871
"22";"Albion Park - Macquarie Pass";"10703";47,6831882033277
"23";"Albion Park Rail";"10703";55,3613718019348
"24";"Albury - East";"10901";51,9722737233713
"25";"Albury - North";"10901";41,7538095293421
"26";"Albury - South";"10901";43,6163185291317
"27";"Albury Region";"10901";47,87
"28";"Alderley";"30503";44,8159140012132
"29";"Aldgate - Stirling";"40102";49,7165687539697
"30";"Aldinga";"40304";51,1939558410603
"31";"Alexander Heights - Koondoola";"50503";28,9019806816972
"32";"Alexandra";"20401";59,6649279303245
"33";"Alexandra Hills";"30101";42,9279668664762
"34";"Alfredton";"20101";58,1639301962222
"35";"Algester";"30305";45,7409704756577
"36";"Alkimos - Eglinton";"50503";44,9221672276074
"37";"Alligator";"70203";61,7888846619411
"38";"Alphington - Fairfield";"20602";41,0882075557601
"39";"Alps - East";"20502";52,3440236587598
"40";"Alps - West";"20505";56,6428550804228
"41";"Altona";"21302";45,3330636874276
"42";"Altona Meadows";"21302";57,1871410616224
"43";"Altona North";"21302";44,0998160278376
"44";"Amaroo";"80104";35,7447834695464
"45";"Andergrove - Beaconsfield";"31202";44,5515328716371
"46";"Anindilyakwa";"70204";45,5621429387583
"47";"Anna Bay";"10603";47,56758345357
"48";"Annandale";"31802";52,0691211887646
"49";"Annerley";"30302";28,4433387093707
"50";"Anula";"70102";44,4182004991786
"51";"Applecross - Ardross";"50704";45,6924020967566
"52";"APY Lands";"40602";41,8524815841043
"53";"Aranda";"80101";29,2743231984566
"54";"Ararat";"21501";29,1735476044323
"55";"Ararat Region";"21501";42,1185330930773
"56";"Arboretum";"80110";45,044907501974
"57";"Ardeer - Albion";"21301";53,7331100373994
"58";"Armadale";"20606";57,7003316516025
"59";"Armadale - Wungong - Brookdale";"50601";41,7517998267453
"60";"Armidale";"11001";54,4095926277988
"61";"Armidale Region - North";"11001";41,6539107295161
"62";"Armidale Region - South";"11001";61,4750067373477
"63";"Arncliffe - Bardwell Valley";"11904";61,5167022746062
"64";"Aroona - Currimundi";"31602";36,1782779573049
"65";"Arundel";"30903";55,7247484096031
"66";"Ascot";"30503";31,3928652117154
"67";"Ascot Vale";"20603";55,8206780767099
"68";"Ashburton (Vic.)";"20701";51,1996432219302
"69";"Ashburton (WA)";"51003";34,3864628134054
"70";"Ashcroft - Busby - Miller";"12701";38,3830671621443
"71";"Ashendon - Lesley";"50601";53,3516244128268
"72";"Ashfield";"12003";58,2620136945531
"73";"Ashfield - Kepnock";"31901";39,2577029710953
"74";"Ashgrove";"30504";52,4664100759985
"75";"Ashmore";"30909";41,7850428679492
"76";"Ashwood - Chadstone";"21205";53,6927903105885
"77";"Aspendale Gardens - Waterways";"20803";28,4623903245154
"78";"Aspley";"30202";43,1645036840434
"79";"Asquith - Mount Colah";"12102";49,6756372143991
"80";"Athelstone";"40104";50,6803781866632
"81";"Atherton";"30605";39,24534504718
"82";"Auburn - Central";"12501";30,3018792030705
"83";"Auburn - North";"12501";44,2526837770781
"84";"Auburn - South";"12501";44,0654387708254
"85";"Auchenflower";"30504";53,3801271036521
"86";"Augusta";"50101";30,0068535454224
"87";"Aurukun";"31501";41,9134419038402
"88";"Austins Ferry - Granton";"60103";48,1824838369832
"89";"Austral - Greendale";"12701";50,3191142989441
"90";"Australind - Leschenault";"50102";54,1836071546104
"91";"Avalon - Palm Beach";"12202";53,278099927522
"92";"Avoca";"20103";42,32319611525
"93";"Avoca Beach - Copacabana";"10201";58,4012783430378
"94";"Avon Valley National Park";"50403";34,8723637734452
"95";"Ayr";"31801";36,2736421350727
"96";"Babinda";"30603";59,8436080191031
"97";"Bacchus Marsh";"21304";53,1814439859916
"98";"Bacchus Marsh Region";"20102";31,2646804023727
"99";"Badgerys Creek";"12701";51,38
"100";"Bairnsdale";"20502";41,7995411424637
"101";"Bakewell";"70104";31,6264811313229
"102";"Balcatta - Hamersley";"50502";27,9831484010696
"103";"Bald Hills";"30201";41,0980244544708
"104";"Baldivis";"50705";31,7465811884046
"105";"Balga - Mirrabooka";"50502";52,0280550686193
"106";"Balgowlah - Clontarf - Seaforth";"12201";35,7772399581079
"107";"Balgownie - Fairy Meadow";"10704";59,0363657462441
"108";"Ballajura";"50403";34,5398812224627
"109";"Ballarat";"20101";48,6209763103728
"110";"Ballarat - North";"20101";59,03
"111";"Ballarat - South";"20101";41,6863228323156
"112";"Ballina";"11201";37,3171319547147
"113";"Ballina Region";"11201";59,5059297891736
"114";"Balmain";"12002";31,523636094869
"115";"Balmoral";"30502";43,7129270011283
"116";"Balonne";"30701";40,9702188268347
"117";"Balwyn";"20701";50,8517610628671
"118";"Balwyn North";"20701";57,4937337497158
"119";"Banana";"30804";42,1766982333848
"120";"Bangalow";"11201";51,5796154443458
"121";"Banjup";"50701";38,2397303013402
"122";"Banks";"80107";34,8580827619458
"123";"Banksmeadow";"11701";37,7364527117302
"124";"Bankstown - North";"11901";36,4019671389129
"125";"Bankstown - South";"11901";38,9479298211267
"126";"Bannockburn";"20301";30,9751031311926
"127";"Banora Point";"11203";53,2336318384577
"128";"Barcaldine - Blackall";"31503";43,5528413457025
"129";"Bardon";"30504";40,1883789040197
"130";"Bargara - Burnett Heads";"31901";44,837738032407
"131";"Bargo";"12303";51,2806580042028
"132";"Barkly";"70202";29,5332267385419
"133";"Barmera";"40703";29,3128416426315
"134";"Barossa - Angaston";"40501";54,6113327447264
"135";"Barton";"80106";36,8794202543457
"136";"Bass Hill - Georges Hall";"11901";48,8206030670092
"137";"Bassendean - Eden Hill - Ashfield";"50401";40,4267503274506
"138";"Bateau Bay - Killarney Vale";"10202";27,1962881202505
"139";"Bateman";"50704";40,2865717000805
"140";"Batemans Bay";"10104";54,1815226978472
"141";"Batemans Bay - South";"10104";45,6318778444568
"142";"Bathurst";"10301";35,4806958512628
"143";"Bathurst - East";"10301";44,4953218881371
"144";"Bathurst Region";"10301";28,5652392945249
"145";"Baulkham Hills (East)";"11501";42,3206760092543
"146";"Baulkham Hills (West) - Bella Vista";"11501";31,7933968549326
"147";"Bayonet Head - Lower King";"50901";27,0939641556816
"148";"Bayswater";"21101";55,3668651847888
"149";"Bayswater - Embleton - Bedford";"50401";60,7186467017429
"150";"Bayswater North";"21103";29,8008211765889
"151";"Bayview - Elanora Heights";"12202";27,9848873053988
"152";"Beachmere - Sandstone Point";"31301";55,5109246326007
"153";"Beacon Hill - Narraweena";"12203";44,907638153336
"154";"Beaconsfield - Officer";"21201";31,6389407846026
"155";"Beaudesert";"31101";28,5593782131523
"156";"Beaufort";"20103";56,2386783773657
"157";"Beaumaris";"20801";43,7914560434658
"158";"Beauty Point - Beaconsfield";"60202";27,6497576053735
"159";"Beckenham - Kenwick - Langford";"50604";58,5822179247353
"160";"Beechboro";"50403";32,847754060901
"161";"Beechworth";"20403";32,1495839339258
"162";"Beeliar - Wattleup";"50701";28,9065897785087
"163";"Beenleigh";"31102";43,0955307922663
"164";"Beerwah";"31606";37,6418928869821
"165";"Bega-Eden Hinterland";"10104";36,6482808564048
"166";"Bega - Tathra";"10104";44,6135654421719
"167";"Belair";"40303";32,9564120802332
"168";"Belconnen";"80101";48,9241290301561
"169";"Belgian Gardens - Pallarenda";"31802";42,8418062734481
"170";"Belgrave - Selby";"21105";50,5936077695794
"171";"Bellbird Park - Brookwater";"31004";36,7369572145804
"172";"Bellbowrie - Moggill";"30402";51,4538033841819
"173";"Bellerive - Rosny";"60102";43,3589464515333
"174";"Bellevue Heights";"40303";54,1556944089269
"175";"Bellingen";"10402";35,5388175463651
"176";"Belmont";"20302";51,5076257577252
"177";"Belmont - Ascot - Redcliffe";"50602";58,714520425629
"178";"Belmont - Bennetts Green";"11101";51,3105714717726
"179";"Belmont - Gumdale";"30101";32,3112486419387
"180";"Belmont South - Blacksmiths";"11101";60,1881448721515
"181";"Belmore - Belfield";"11902";55,9140948405553
